ID	Emoji	Code	Hex	Decimal	HTML entity hex	HTML entity decimal	URL encode	JS encode	Markdown	Name (English)
2543	🧑🏽‍❤️‍💋‍🧑🏿	U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FF	1F9D1 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF	129489 127997 8205 10084 65039 8205 128139 8205 129489 127999	&#x1F9D1;&#x1F3FD;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F9D1;&#x1F3FF;	&#129489;&#127997;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#129489;&#127999;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BF	\ud83e\uddd1\ud83c\udffd\u200d\u2764\ufe0f\u200d\ud83d\udc8b\u200d\ud83e\uddd1\ud83c\udfff		kiss: person, person, medium skin tone, dark skin tone
2544	🧑🏽‍❤️‍🧑🏻	U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FB	1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FB	129489 127997 8205 10084 65039 8205 129489 127995	&#x1F9D1;&#x1F3FD;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FB;	&#129489;&#127997;&#8205;&#10084;&#65039;&#8205;&#129489;&#127995;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BB	\ud83e\uddd1\ud83c\udffd\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffb		couple with heart: person, person, medium skin tone, light skin tone
2545	🧑🏽‍❤️‍🧑🏼	U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FC	1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FC	129489 127997 8205 10084 65039 8205 129489 127996	&#x1F9D1;&#x1F3FD;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FC;	&#129489;&#127997;&#8205;&#10084;&#65039;&#8205;&#129489;&#127996;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BC	\ud83e\uddd1\ud83c\udffd\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffc		couple with heart: person, person, medium skin tone, medium-light skin tone
2546	🧑🏽‍❤️‍🧑🏾	U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FE	1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FE	129489 127997 8205 10084 65039 8205 129489 127998	&#x1F9D1;&#x1F3FD;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FE;	&#129489;&#127997;&#8205;&#10084;&#65039;&#8205;&#129489;&#127998;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BE	\ud83e\uddd1\ud83c\udffd\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffe		couple with heart: person, person, medium skin tone, medium-dark skin tone
2547	🧑🏽‍❤️‍🧑🏿	U+1F9D1 U+1F3FD U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FF	1F9D1 1F3FD 200D 2764 FE0F 200D 1F9D1 1F3FF	129489 127997 8205 10084 65039 8205 129489 127999	&#x1F9D1;&#x1F3FD;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FF;	&#129489;&#127997;&#8205;&#10084;&#65039;&#8205;&#129489;&#127999;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BF	\ud83e\uddd1\ud83c\udffd\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udfff		couple with heart: person, person, medium skin tone, dark skin tone
2548	🧑🏽‍🤝‍🧑🏻	U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FB	1F9D1 1F3FD 200D 1F91D 200D 1F9D1 1F3FB	129489 127997 8205 129309 8205 129489 127995	&#x1F9D1;&#x1F3FD;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FB;	&#129489;&#127997;&#8205;&#129309;&#8205;&#129489;&#127995;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BB	\ud83e\uddd1\ud83c\udffd\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffb		people holding hands: medium skin tone, light skin tone
2549	🧑🏽‍🤝‍🧑🏼	U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FC	1F9D1 1F3FD 200D 1F91D 200D 1F9D1 1F3FC	129489 127997 8205 129309 8205 129489 127996	&#x1F9D1;&#x1F3FD;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FC;	&#129489;&#127997;&#8205;&#129309;&#8205;&#129489;&#127996;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BC	\ud83e\uddd1\ud83c\udffd\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffc		people holding hands: medium skin tone, medium-light skin tone
2550	🧑🏽‍🤝‍🧑🏽	U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FD	1F9D1 1F3FD 200D 1F91D 200D 1F9D1 1F3FD	129489 127997 8205 129309 8205 129489 127997	&#x1F9D1;&#x1F3FD;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FD;	&#129489;&#127997;&#8205;&#129309;&#8205;&#129489;&#127997;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BD	\ud83e\uddd1\ud83c\udffd\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffd		people holding hands: medium skin tone
2551	🧑🏽‍🤝‍🧑🏾	U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FE	1F9D1 1F3FD 200D 1F91D 200D 1F9D1 1F3FE	129489 127997 8205 129309 8205 129489 127998	&#x1F9D1;&#x1F3FD;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FE;	&#129489;&#127997;&#8205;&#129309;&#8205;&#129489;&#127998;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BE	\ud83e\uddd1\ud83c\udffd\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffe		people holding hands: medium skin tone, medium-dark skin tone
2552	🧑🏽‍🤝‍🧑🏿	U+1F9D1 U+1F3FD U+200D U+1F91D U+200D U+1F9D1 U+1F3FF	1F9D1 1F3FD 200D 1F91D 200D 1F9D1 1F3FF	129489 127997 8205 129309 8205 129489 127999	&#x1F9D1;&#x1F3FD;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FF;	&#129489;&#127997;&#8205;&#129309;&#8205;&#129489;&#127999;	%F0%9F%A7%91%F0%9F%8F%BD%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BF	\ud83e\uddd1\ud83c\udffd\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udfff		people holding hands: medium skin tone, dark skin tone
2553	🧑🏾‍❤️‍💋‍🧑🏻	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FB	1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB	129489 127998 8205 10084 65039 8205 128139 8205 129489 127995	&#x1F9D1;&#x1F3FE;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F9D1;&#x1F3FB;	&#129489;&#127998;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#129489;&#127995;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BB	\ud83e\uddd1\ud83c\udffe\u200d\u2764\ufe0f\u200d\ud83d\udc8b\u200d\ud83e\uddd1\ud83c\udffb		kiss: person, person, medium-dark skin tone, light skin tone
2554	🧑🏾‍❤️‍💋‍🧑🏼	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FC	1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC	129489 127998 8205 10084 65039 8205 128139 8205 129489 127996	&#x1F9D1;&#x1F3FE;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F9D1;&#x1F3FC;	&#129489;&#127998;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#129489;&#127996;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BC	\ud83e\uddd1\ud83c\udffe\u200d\u2764\ufe0f\u200d\ud83d\udc8b\u200d\ud83e\uddd1\ud83c\udffc		kiss: person, person, medium-dark skin tone, medium-light skin tone
2555	🧑🏾‍❤️‍💋‍🧑🏽	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FD	1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD	129489 127998 8205 10084 65039 8205 128139 8205 129489 127997	&#x1F9D1;&#x1F3FE;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F9D1;&#x1F3FD;	&#129489;&#127998;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#129489;&#127997;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BD	\ud83e\uddd1\ud83c\udffe\u200d\u2764\ufe0f\u200d\ud83d\udc8b\u200d\ud83e\uddd1\ud83c\udffd		kiss: person, person, medium-dark skin tone, medium skin tone
2556	🧑🏾‍❤️‍💋‍🧑🏿	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FF	1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF	129489 127998 8205 10084 65039 8205 128139 8205 129489 127999	&#x1F9D1;&#x1F3FE;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F9D1;&#x1F3FF;	&#129489;&#127998;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#129489;&#127999;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BF	\ud83e\uddd1\ud83c\udffe\u200d\u2764\ufe0f\u200d\ud83d\udc8b\u200d\ud83e\uddd1\ud83c\udfff		kiss: person, person, medium-dark skin tone, dark skin tone
2557	🧑🏾‍❤️‍🧑🏻	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FB	1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FB	129489 127998 8205 10084 65039 8205 129489 127995	&#x1F9D1;&#x1F3FE;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FB;	&#129489;&#127998;&#8205;&#10084;&#65039;&#8205;&#129489;&#127995;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BB	\ud83e\uddd1\ud83c\udffe\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffb		couple with heart: person, person, medium-dark skin tone, light skin tone
2558	🧑🏾‍❤️‍🧑🏼	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FC	1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FC	129489 127998 8205 10084 65039 8205 129489 127996	&#x1F9D1;&#x1F3FE;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FC;	&#129489;&#127998;&#8205;&#10084;&#65039;&#8205;&#129489;&#127996;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BC	\ud83e\uddd1\ud83c\udffe\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffc		couple with heart: person, person, medium-dark skin tone, medium-light skin tone
2559	🧑🏾‍❤️‍🧑🏽	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FD	1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FD	129489 127998 8205 10084 65039 8205 129489 127997	&#x1F9D1;&#x1F3FE;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FD;	&#129489;&#127998;&#8205;&#10084;&#65039;&#8205;&#129489;&#127997;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BD	\ud83e\uddd1\ud83c\udffe\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffd		couple with heart: person, person, medium-dark skin tone, medium skin tone
2560	🧑🏾‍❤️‍🧑🏿	U+1F9D1 U+1F3FE U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FF	1F9D1 1F3FE 200D 2764 FE0F 200D 1F9D1 1F3FF	129489 127998 8205 10084 65039 8205 129489 127999	&#x1F9D1;&#x1F3FE;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FF;	&#129489;&#127998;&#8205;&#10084;&#65039;&#8205;&#129489;&#127999;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BF	\ud83e\uddd1\ud83c\udffe\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udfff		couple with heart: person, person, medium-dark skin tone, dark skin tone
2561	🧑🏾‍🤝‍🧑🏻	U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FB	1F9D1 1F3FE 200D 1F91D 200D 1F9D1 1F3FB	129489 127998 8205 129309 8205 129489 127995	&#x1F9D1;&#x1F3FE;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FB;	&#129489;&#127998;&#8205;&#129309;&#8205;&#129489;&#127995;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BB	\ud83e\uddd1\ud83c\udffe\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffb		people holding hands: medium-dark skin tone, light skin tone
2562	🧑🏾‍🤝‍🧑🏼	U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FC	1F9D1 1F3FE 200D 1F91D 200D 1F9D1 1F3FC	129489 127998 8205 129309 8205 129489 127996	&#x1F9D1;&#x1F3FE;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FC;	&#129489;&#127998;&#8205;&#129309;&#8205;&#129489;&#127996;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BC	\ud83e\uddd1\ud83c\udffe\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffc		people holding hands: medium-dark skin tone, medium-light skin tone
2563	🧑🏾‍🤝‍🧑🏽	U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FD	1F9D1 1F3FE 200D 1F91D 200D 1F9D1 1F3FD	129489 127998 8205 129309 8205 129489 127997	&#x1F9D1;&#x1F3FE;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FD;	&#129489;&#127998;&#8205;&#129309;&#8205;&#129489;&#127997;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BD	\ud83e\uddd1\ud83c\udffe\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffd		people holding hands: medium-dark skin tone, medium skin tone
2564	🧑🏾‍🤝‍🧑🏾	U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FE	1F9D1 1F3FE 200D 1F91D 200D 1F9D1 1F3FE	129489 127998 8205 129309 8205 129489 127998	&#x1F9D1;&#x1F3FE;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FE;	&#129489;&#127998;&#8205;&#129309;&#8205;&#129489;&#127998;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BE	\ud83e\uddd1\ud83c\udffe\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffe		people holding hands: medium-dark skin tone
2565	🧑🏾‍🤝‍🧑🏿	U+1F9D1 U+1F3FE U+200D U+1F91D U+200D U+1F9D1 U+1F3FF	1F9D1 1F3FE 200D 1F91D 200D 1F9D1 1F3FF	129489 127998 8205 129309 8205 129489 127999	&#x1F9D1;&#x1F3FE;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FF;	&#129489;&#127998;&#8205;&#129309;&#8205;&#129489;&#127999;	%F0%9F%A7%91%F0%9F%8F%BE%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BF	\ud83e\uddd1\ud83c\udffe\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udfff		people holding hands: medium-dark skin tone, dark skin tone
2566	🧑🏿‍❤️‍💋‍🧑🏻	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FB	1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB	129489 127999 8205 10084 65039 8205 128139 8205 129489 127995	&#x1F9D1;&#x1F3FF;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F9D1;&#x1F3FB;	&#129489;&#127999;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#129489;&#127995;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BB	\ud83e\uddd1\ud83c\udfff\u200d\u2764\ufe0f\u200d\ud83d\udc8b\u200d\ud83e\uddd1\ud83c\udffb		kiss: person, person, dark skin tone, light skin tone
2567	🧑🏿‍❤️‍💋‍🧑🏼	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FC	1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC	129489 127999 8205 10084 65039 8205 128139 8205 129489 127996	&#x1F9D1;&#x1F3FF;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F9D1;&#x1F3FC;	&#129489;&#127999;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#129489;&#127996;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BC	\ud83e\uddd1\ud83c\udfff\u200d\u2764\ufe0f\u200d\ud83d\udc8b\u200d\ud83e\uddd1\ud83c\udffc		kiss: person, person, dark skin tone, medium-light skin tone
2568	🧑🏿‍❤️‍💋‍🧑🏽	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FD	1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD	129489 127999 8205 10084 65039 8205 128139 8205 129489 127997	&#x1F9D1;&#x1F3FF;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F9D1;&#x1F3FD;	&#129489;&#127999;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#129489;&#127997;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BD	\ud83e\uddd1\ud83c\udfff\u200d\u2764\ufe0f\u200d\ud83d\udc8b\u200d\ud83e\uddd1\ud83c\udffd		kiss: person, person, dark skin tone, medium skin tone
2569	🧑🏿‍❤️‍💋‍🧑🏾	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F9D1 U+1F3FE	1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FE	129489 127999 8205 10084 65039 8205 128139 8205 129489 127998	&#x1F9D1;&#x1F3FF;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F48B;&#x200D;&#x1F9D1;&#x1F3FE;	&#129489;&#127999;&#8205;&#10084;&#65039;&#8205;&#128139;&#8205;&#129489;&#127998;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%92%8B%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BE	\ud83e\uddd1\ud83c\udfff\u200d\u2764\ufe0f\u200d\ud83d\udc8b\u200d\ud83e\uddd1\ud83c\udffe		kiss: person, person, dark skin tone, medium-dark skin tone
2570	🧑🏿‍❤️‍🧑🏻	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FB	1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FB	129489 127999 8205 10084 65039 8205 129489 127995	&#x1F9D1;&#x1F3FF;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FB;	&#129489;&#127999;&#8205;&#10084;&#65039;&#8205;&#129489;&#127995;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BB	\ud83e\uddd1\ud83c\udfff\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffb		couple with heart: person, person, dark skin tone, light skin tone
2571	🧑🏿‍❤️‍🧑🏼	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FC	1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FC	129489 127999 8205 10084 65039 8205 129489 127996	&#x1F9D1;&#x1F3FF;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FC;	&#129489;&#127999;&#8205;&#10084;&#65039;&#8205;&#129489;&#127996;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BC	\ud83e\uddd1\ud83c\udfff\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffc		couple with heart: person, person, dark skin tone, medium-light skin tone
2572	🧑🏿‍❤️‍🧑🏽	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FD	1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FD	129489 127999 8205 10084 65039 8205 129489 127997	&#x1F9D1;&#x1F3FF;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FD;	&#129489;&#127999;&#8205;&#10084;&#65039;&#8205;&#129489;&#127997;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BD	\ud83e\uddd1\ud83c\udfff\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffd		couple with heart: person, person, dark skin tone, medium skin tone
2573	🧑🏿‍❤️‍🧑🏾	U+1F9D1 U+1F3FF U+200D U+2764 U+FE0F U+200D U+1F9D1 U+1F3FE	1F9D1 1F3FF 200D 2764 FE0F 200D 1F9D1 1F3FE	129489 127999 8205 10084 65039 8205 129489 127998	&#x1F9D1;&#x1F3FF;&#x200D;&#x2764;&#xFE0F;&#x200D;&#x1F9D1;&#x1F3FE;	&#129489;&#127999;&#8205;&#10084;&#65039;&#8205;&#129489;&#127998;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%E2%9D%A4%EF%B8%8F%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BE	\ud83e\uddd1\ud83c\udfff\u200d\u2764\ufe0f\u200d\ud83e\uddd1\ud83c\udffe		couple with heart: person, person, dark skin tone, medium-dark skin tone
2574	🧑🏿‍🤝‍🧑🏻	U+1F9D1 U+1F3FF U+200D U+1F91D U+200D U+1F9D1 U+1F3FB	1F9D1 1F3FF 200D 1F91D 200D 1F9D1 1F3FB	129489 127999 8205 129309 8205 129489 127995	&#x1F9D1;&#x1F3FF;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FB;	&#129489;&#127999;&#8205;&#129309;&#8205;&#129489;&#127995;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BB	\ud83e\uddd1\ud83c\udfff\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffb		people holding hands: dark skin tone, light skin tone
2575	🧑🏿‍🤝‍🧑🏼	U+1F9D1 U+1F3FF U+200D U+1F91D U+200D U+1F9D1 U+1F3FC	1F9D1 1F3FF 200D 1F91D 200D 1F9D1 1F3FC	129489 127999 8205 129309 8205 129489 127996	&#x1F9D1;&#x1F3FF;&#x200D;&#x1F91D;&#x200D;&#x1F9D1;&#x1F3FC;	&#129489;&#127999;&#8205;&#129309;&#8205;&#129489;&#127996;	%F0%9F%A7%91%F0%9F%8F%BF%E2%80%8D%F0%9F%A4%9D%E2%80%8D%F0%9F%A7%91%F0%9F%8F%BC	\ud83e\uddd1\ud83c\udfff\u200d\ud83e\udd1d\u200d\ud83e\uddd1\ud83c\udffc		people holding hands: dark skin tone, medium-light skin tone
