ID	Emoji	Code	Hex	Decimal	HTML entity hex	HTML entity decimal	URL encode	JS encode	Markdown	Name (English)
646	🧓🏾	U+1F9D3 U+1F3FE	1F9D3 1F3FE	129491 127998	&#x1F9D3;&#x1F3FE;	&#129491;&#127998;	%F0%9F%A7%93%F0%9F%8F%BE	\ud83e\uddd3\ud83c\udffe		older person: medium-dark skin tone
647	🧓🏿	U+1F9D3 U+1F3FF	1F9D3 1F3FF	129491 127999	&#x1F9D3;&#x1F3FF;	&#129491;&#127999;	%F0%9F%A7%93%F0%9F%8F%BF	\ud83e\uddd3\ud83c\udfff		older person: dark skin tone
648	🧔	U+1F9D4	1F9D4	129492	&#x1F9D4;	&#129492;	%F0%9F%A7%94	\ud83e\uddd4	:bearded_person:	person: beard
649	🧔‍♀️	U+1F9D4 U+200D U+2640 U+FE0F	1F9D4 200D 2640 FE0F	129492 8205 9792 65039	&#x1F9D4;&#x200D;&#x2640;&#xFE0F;	&#129492;&#8205;&#9792;&#65039;	%F0%9F%A7%94%E2%80%8D%E2%99%80%EF%B8%8F	\ud83e\uddd4\u200d\u2640\ufe0f		woman: beard
650	🧔‍♂️	U+1F9D4 U+200D U+2642 U+FE0F	1F9D4 200D 2642 FE0F	129492 8205 9794 65039	&#x1F9D4;&#x200D;&#x2642;&#xFE0F;	&#129492;&#8205;&#9794;&#65039;	%F0%9F%A7%94%E2%80%8D%E2%99%82%EF%B8%8F	\ud83e\uddd4\u200d\u2642\ufe0f		man: beard
651	🧔🏻	U+1F9D4 U+1F3FB	1F9D4 1F3FB	129492 127995	&#x1F9D4;&#x1F3FB;	&#129492;&#127995;	%F0%9F%A7%94%F0%9F%8F%BB	\ud83e\uddd4\ud83c\udffb		person: light skin tone, beard
652	🧔🏻‍♀️	U+1F9D4 U+1F3FB U+200D U+2640 U+FE0F	1F9D4 1F3FB 200D 2640 FE0F	129492 127995 8205 9792 65039	&#x1F9D4;&#x1F3FB;&#x200D;&#x2640;&#xFE0F;	&#129492;&#127995;&#8205;&#9792;&#65039;	%F0%9F%A7%94%F0%9F%8F%BB%E2%80%8D%E2%99%80%EF%B8%8F	\ud83e\uddd4\ud83c\udffb\u200d\u2640\ufe0f		woman: light skin tone, beard
653	🧔🏻‍♂️	U+1F9D4 U+1F3FB U+200D U+2642 U+FE0F	1F9D4 1F3FB 200D 2642 FE0F	129492 127995 8205 9794 65039	&#x1F9D4;&#x1F3FB;&#x200D;&#x2642;&#xFE0F;	&#129492;&#127995;&#8205;&#9794;&#65039;	%F0%9F%A7%94%F0%9F%8F%BB%E2%80%8D%E2%99%82%EF%B8%8F	\ud83e\uddd4\ud83c\udffb\u200d\u2642\ufe0f		man: light skin tone, beard
654	🧔🏼	U+1F9D4 U+1F3FC	1F9D4 1F3FC	129492 127996	&#x1F9D4;&#x1F3FC;	&#129492;&#127996;	%F0%9F%A7%94%F0%9F%8F%BC	\ud83e\uddd4\ud83c\udffc		person: medium-light skin tone, beard
655	🧔🏼‍♀️	U+1F9D4 U+1F3FC U+200D U+2640 U+FE0F	1F9D4 1F3FC 200D 2640 FE0F	129492 127996 8205 9792 65039	&#x1F9D4;&#x1F3FC;&#x200D;&#x2640;&#xFE0F;	&#129492;&#127996;&#8205;&#9792;&#65039;	%F0%9F%A7%94%F0%9F%8F%BC%E2%80%8D%E2%99%80%EF%B8%8F	\ud83e\uddd4\ud83c\udffc\u200d\u2640\ufe0f		woman: medium-light skin tone, beard
